r2qkbr1/pb1nn3/1ppp3p/8/3P1p2/2PB1N1P/PPQN1PP1/2K1R2R w q - 2 15,#+2
r2qkbr1/pb1nn3/1ppp3p/6N1/3P1p2/2PB3P/PPQN1PP1/2K1R2R b q - 3 15,139
r2qkbr1/pb1nn3/1ppp3p/8/3P1p2/2PB1N1P/PPQN1PP1/2K1R2R w q - 2 15,#+2
r2qkbr1/pb1nn3/1ppp3p/6N1/3P1p2/2PB3P/PPQN1PP1/2K1R2R b q - 3 15,115
r2qkbr1/pb1nn3/1ppp3p/8/3P1p2/2PB1N1P/PPQN1PP1/2K1R2R w q - 2 15,#+2
r2qkbr1/pb1nn3/1ppp3p/6N1/3P1p2/2PB3P/PPQN1PP1/2K1R2R b q - 3 15,139
r2qkbr1/pb1nn3/1ppp3p/8/3P1p2/2PB1N1P/PPQN1PP1/2K1R2R w q - 2 15,#+2
r2qkbr1/pb1nn3/1ppp3p/6N1/3P1p2/2PB3P/PPQN1PP1/2K1R2R b q - 3 15,139
r2qkbr1/pb1nn3/1ppp3p/4N3/3P1p2/2PB3P/PPQN1PP1/2K1R2R b q - 3 15,-294
r2qkbr1/pb1nn3/1ppp3p/8/3P1p1N/2PB3P/PPQN1PP1/2K1R2R b q - 3 15,50
r2qkbr1/pb1nn3/1ppp3p/8/3P1p2/2PB3P/PPQN1PPN/2K1R2R b q - 3 15,-243
r2qkbr1/pb1nn3/1ppp3p/8/3P1p2/2PB3P/PPQN1PP1/2K1R1NR b q - 3 15,-131
r2qkbr1/pb1nn2B/1ppp3p/8/3P1p2/2P2N1P/PPQN1PP1/2K1R2R b q - 3 15,90
r2qkbr1/pb1nn3/1ppp2Bp/8/3P1p2/2P2N1P/PPQN1PP1/2K1R2R b q - 3 15,#+1
r2qkbr1/pb1nn3/Bppp3p/8/3P1p2/2P2N1P/PPQN1PP1/2K1R2R b q - 3 15,-342
r2qkbr1/pb1nn3/1ppp3p/5B2/3P1p2/2P2N1P/PPQN1PP1/2K1R2R b q - 3 15,-173
r2qkbr1/pb1nn3/1ppp3p/1B6/3P1p2/2P2N1P/PPQN1PP1/2K1R2R b q - 3 15,-383
r2qkbr1/pb1nn3/1ppp3p/8/3PBp2/2P2N1P/PPQN1PP1/2K1R2R b q - 3 15,-190
r2qkbr1/pb1nn3/1ppp3p/8/2BP1p2/2P2N1P/PPQN1PP1/2K1R2R b q - 3 15,-94
r2qkbr1/pb1nn3/1ppp3p/8/3P1p2/2P2N1P/PPQNBPP1/2K1R2R b q - 3 15,-301
r2qkbr1/pb1nn3/1ppp3p/8/3P1p2/2P2N1P/PPQN1PP1/2K1RB1R b q - 3 15,-157
r2qkbr1/pb1nn3/1ppp3p/8/3PNp2/2PB1N1P/PPQ2PP1/2K1R2R b q - 3 15,-229
r2qkbr1/pb1nn3/1ppp3p/8/2NP1p2/2PB1N1P/PPQ2PP1/2K1R2R b q - 3 15,0
r2qkbr1/pb1nn3/1ppp3p/8/3P1p2/1NPB1N1P/PPQ2PP1/2K1R2R b q - 3 15,-205
r2qkbr1/pb1nn3/1ppp3p/8/3P1p2/2PB1N1P/PPQ2PP1/2K1RN1R b q - 3 15,-226
r2qkbr1/pb1nn3/1ppp3p/8/3P1p2/2PB1N1P/PPQ2PP1/1NK1R2R b q - 3 15,-236
r2qkbr1/pb1nn3/1ppp3p/8/Q2P1p2/2PB1N1P/PP1N1PP1/2K1R2R b q - 3 15,-252
r2qkbr1/pb1nn3/1ppp3p/8/3P1p2/1QPB1N1P/PP1N1PP1/2K1R2R b q - 3 15,-90
r2qkbr1/pb1nn3/1ppp3p/8/3P1p2/2PB1N1P/PP1N1PP1/2KQR2R b q - 3 15,-264
r2qkbr1/pb1nn3/1ppp3p/8/3P1p2/2PB1N1P/PP1N1PP1/1QK1R2R b q - 3 15,-218
r2qkbr1/pb1nn3/1ppp3p/8/3P1p2/2PB1N1P/PPQN1PPR/2K1R3 b q - 3 15,-225
r2qkbr1/pb1nn3/1ppp3p/8/3P1p2/2PB1N1P/PPQN1PP1/2K1R1R1 b q - 3 15,-187
