FEN,Evaluation,Move
r2qkbr1/pb1nn3/1ppp3p/8/3P1p2/2PB1N1P/PPQN1PP1/2K1R2R w q - 2 15,#+2,d3g6
r2qkb2/pb1nn3/1ppp2rp/8/3P1p2/2P2N1P/PPQN1PP1/2K1R2R w q - 0 16,#+1,c2g6
r2qkbr1/pb1nn3/1ppp2Bp/8/3P1p2/2P2N1P/PPQN1PP1/2K1R2R b q - 3 15,#+1,g8g6
8/7p/R5p1/2p1pkP1/7P/P4PK1/1r6/3q4 w - - 6 46,#+1,a6f6
6k1/pp6/3p4/2p1p3/2P1P1q1/1P1P2pP/P5P1/5K2 w - - 0 31,+408,h3g4
6k1/pp6/3p4/2p1p3/2P1P1bq/1P1P2pP/P3Q1P1/5K2 w - - 0 30,+444,e2g4
6k1/pp6/3p4/2p1p3/2P1P1Qq/1P1P2pP/P5P1/5K2 b - - 0 30,+428,h4g4
5k2/4n1b1/3N1r1p/r2b2p1/2p5/3p4/P4PPP/1RB1R1K1 w - - 3 28,#+2,b1b8
1R3k2/4n1b1/3N1r1p/r2b2p1/2p5/3p4/P4PPP/2B1R1K1 b - - 4 28,#+1,e7c8
1Rn2k2/6b1/3N1r1p/r2b2p1/2p5/3p4/P4PPP/2B1R1K1 w - - 5 29,#+1,b8c8
2k4r/pp3pp1/3N1p2/2pP1P1p/b3r1P1/P1P4P/2P5/R1R3K1 b - - 0 22,+667,c8c7
3r2k1/1p3pp1/p2p3p/2pP4/2P1Q1n1/2NPb3/PP4PP/6RK b - - 0 27,#-1,g4f2
6k1/pp6/3p4/2p1p3/2P1P1P1/1P1P2p1/P5P1/5K2 b - - 0 31,+462,g8f7
1kr5/pp2p3/2p1Q3/8/7q/2B1N3/PP6/2K5 w - - 5 39,#+2,c3e5
1kr5/pp2p3/2p1Q3/4B3/7q/4N3/PP6/2K5 b - - 6 39,#+1,b8a8
k1r5/pp2p3/2p1Q3/4B3/7q/4N3/PP6/2K5 w - - 7 40,#+1,e6c8
2k4r/pp3pp1/3p1p2/2pP1P1p/b1N1r1P1/P1P4P/2P5/R1R3K1 w - - 0 22,+683,c4d6
4r1k1/2q2pp1/2b2b1p/p4B2/1pN5/1P5P/P3QPP1/4R1K1 w - - 1 30,#+2,e2e8
4Q1k1/2q2pp1/2b2b1p/p4B2/1pN5/1P5P/P4PP1/4R1K1 b - - 0 30,#+1,c6e8
4b1k1/2q2pp1/5b1p/p4B2/1pN5/1P5P/P4PP1/4R1K1 w - - 0 31,#+1,e1e8
7r/ppk2pp1/3N1p2/2pP1P1p/b3r1P1/P1P4P/2P5/R1R3K1 w - - 1 23,+663,d6e4
7r/ppk2pp1/5p2/2pP1P1p/b3N1P1/P1P4P/2P5/R1R3K1 b - - 0 23,+650,h5g4
N1bk2nr/pp1p1ppp/8/4P3/8/8/PqnNPPPP/R2QKB1R w KQ - 0 11,-386,d1c2
N1bk2nr/pp1p1ppp/8/4P3/1n6/8/PqPNPPPP/R2QKB1R b KQ - 0 10,-428,b4c2
N1bk2nr/pp1p1ppp/8/4P3/8/8/PqQNPPPP/R3KB1R b KQ - 0 11,-417,b2c2
rnbq2k1/p1p3p1/1p3p1p/8/4N2R/2Q1B3/PPP2PPP/3R2K1 b - - 0 21,#-2,d8d1
rnb3k1/p1p3p1/1p3p1p/8/4N2R/2Q1B3/PPP2PPP/3q2K1 w - - 0 22,#-1,c3e1
rnb3k1/p1p3p1/1p3p1p/8/4N2R/4B3/PPP2PPP/3qQ1K1 b - - 1 22,#-1,d1e1
r3kbnr/2Np1ppp/b1n1p3/8/4P3/P4N2/1PP2PPP/R1B1K2R b KQkq - 2 11,+382,e8d8
r4rk1/pp4pp/4p3/3Rb3/8/1Q4B1/PP4PP/7K b - - 0 21,#-1,f8f1
r3kbnr/3p1ppp/b1n1p3/1N6/4P3/P4N2/1PP2PPP/R1B1K2R w KQkq - 1 11,+405,b5c7
8/R7/4pk2/2Bb2Rp/4r2P/6P1/2P2P2/6K1 b - - 0 34,#-2,e4e1
8/R7/4pk2/2Bb2Rp/7P/6P1/2P2P2/4r1K1 w - - 1 35,#-1,g1h2
8/R7/4pk2/2Bb2Rp/7P/6P1/2P2P1K/4r3 b - - 2 35,#-1,e1h1
N1bk2nr/pp1p1ppp/8/4P3/8/8/P1qNPPPP/R3KB1R w KQ - 0 12,-409,e2e4
3N1k2/3R4/1r5p/4p1p1/5p2/2P5/2P2PPP/6K1 b - - 0 27,#-2,b6b1
3N1k2/3R4/7p/4p1p1/5p2/2P5/2P2PPP/1r4K1 w - - 1 28,#-1,d7d1
3N1k2/8/7p/4p1p1/5p2/2P5/2P2PPP/1r1R2K1 b - - 2 28,#-1,b1d1
